,CONAME,address,lat,lng,distance
370,OXFORD INDUSTRIES INC,"999 Peachtree Street, N.E., Suite 688, Atlanta, GA, 30309",33.7810701,-84.3836383,11733.563962
371,PNC FINANCIAL SVCS GROUP INC,"One PNC Plaza, 249 Fifth Avenue, Pittsburgh, PA, 15222-2707",40.4412198,-80.000496,10914.957662
372,PPG INDUSTRIES INC,"One PPG Place, Pittsburgh, PA, 15272",40.4398,-80.00319999999999,10915.177978
373,PACCAR INC,"777 - 106th Avenue N.E., Bellevue, WA, 98004",47.61666169999999,-122.1997588,10233.812833
374,PG&E CORP,"77 Beale Street, PO Box 770000, San Francisco, CA, 94177",37.7916858,-122.3956663,11283.740785
375,SEMPRA ENERGY,"101 Ash Street, San Diego, CA, 92101",32.7193282,-117.1633888,11941.243823
376,PARK ELECTROCHEMICAL CORP,"48 South Service Road, Suite 300, Melville, NY, 11747",40.7839294,-73.4435264,10687.296513
377,PARKER-HANNIFIN CORP,"6035 Parkland Boulevard, Cleveland, OH, 44124",41.5065902,-81.4611707,10838.444944
378,PARKWAY PROPERTIES INC,"Bank of America Center, Suite 2400, 390 North Orange Avenue, Orlando, FL, 32801",28.5473298,-81.3799544,12210.460319
379,PAYCHEX INC,"911 Panorama Trail South, Rochester, NY, 14625",43.1250668,-77.49238869999999,10565.7751
380,AMERICAN FINANCIAL GROUP INC,"Great American Insurance Group Tower, 301 East Fourth Street, Cincinnati, OH, 45202",39.09976,-84.50692099999999,11165.377512
381,PENNEY (J C) CO,"6501 Legacy Drive, Plano, TX, 75024",33.0816257,-96.8317551,12010.021468
382,PPL CORP,"Two North Ninth Street, Allentown, PA, 18101-1179",40.6014505,-75.4758514,10770.192066
383,PENNSYLVANIA RE INVS TRUST,"The Bellevue, 200 South Broad Street, Philadelphia, PA, 19102",39.9491188,-75.1648441,10828.071317
384,PENTAIR PLC,"Sharp Street, Walkden, P.O. Box 471, Manchester, M28 8BU",53.52552780000001,-2.3868345,6003.939077
385,PEP BOYS-MANNY MOE & JACK,"3111 West Allegheny Avenue, Philadelphia, PA, 19132",40.0059302,-75.1809858,10822.702575
386,PEPSICO INC,"700 Anderson Hill Road, Purchase, NY, 10577",41.0344724,-73.6928681,10669.656215
387,PDC ENERGY INC,"1775 Sherman Street, Suite 3000, Denver, CO, 80203",39.7445109,-104.9851612,11293.197641
388,PFIZER INC,"235 East 42nd Street, New York, NY, 10017",40.7502476,-73.9725386,10707.812316
389,EXELON CORP,"10 South Dearborn Street, 48th Floor, PO Box 805379, Chicago, IL, 60680",41.8811005,-87.62978450000001,10925.325532
390,AQUA AMERICA INC,"762 West Lancaster Avenue, Bryn Mawr, PA, 19010",40.0202242,-75.3163591,10825.434738
391,ALTRIA GROUP INC,"6601 West Broad Street, Richmond, VA, 23230",37.60066279999999,-77.51673149999999,11144.025409
392,CONOCOPHILLIPS,"600 North Dairy Ashford, Houston, TX, 77079",29.7891986,-95.6134428,12362.161476
393,PVH CORP,"200 Madison Avenue, New York, NY, 10016",40.7491338,-73.98258969999999,10708.248316
394,PIEDMONT NATURAL GAS CO,"4720 Piedmont Row Drive, Charlotte, NC, 28210",35.1517607,-80.8402873,11496.835144
395,SENECA FOODS CORP,"3736 South Main Street, Marion, NY, 14505",43.1411774,-77.1904708,10555.805155
396,AGILYSYS INC,"1000 Windward Concourse, Suite 250, Alpharetta, GA, 30005",34.0958977,-84.2409687,11696.424512
397,PIPER JAFFRAY COS INC,"800 Nicollet Mall, Suite 1000, Minneapolis, MN, 55402",44.9758453,-93.2738249,10664.174537
398,PITNEY BOWES INC,"3001 Summer Street, Stamford, CT, 6926",41.07086169999999,-73.54859150000001,10661.280027
399,PLANTRONICS INC,"345 Encinal Street, PO Box 1802, Santa Cruz, CA, 95060",36.9866099,-122.0364022,11378.303717
400,POTLATCH CORP,"601 West First Avenue, Suite 1600, Spokane, WA, 99201",47.6561642,-117.4215296,10310.470425
401,PEPCO HOLDINGS INC,"701 Ninth Street, NW, Washington, DC, 20068",38.8990736,-77.02382109999999,10993.830712
402,POWELL INDUSTRIES INC,"8550 Mosley Road, Houston, TX, 77075",29.6448755,-95.2554375,12374.288761
403,PRECISION CASTPARTS CORP,"4650 SW Macadam Avenue, Suite 400, Portland, OR, 97239",45.4891943,-122.6729013,10452.791963
404,PROCTER & GAMBLE CO,"One Procter & Gamble Plaza, Cincinnati, OH, 45202",39.1032195,-84.5052772,11164.970097
